date,state,district,pincode,demo_age_5_17,demo_age_17_
24-10-2025,Kerala,Kozhikode,673517,1,11
24-10-2025,Kerala,Kozhikode,673527,0,12
24-10-2025,Kerala,Kozhikode,673542,6,20
24-10-2025,Kerala,Kozhikode,673572,2,29
24-10-2025,Kerala,Kozhikode,673613,1,12
24-10-2025,Kerala,Kozhikode,673616,0,13
24-10-2025,Kerala,Kozhikode,673632,0,6
24-10-2025,Kerala,Kozhikode,673661,3,20
25-10-2025,Kerala,Kozhikode,673001,1,2
25-10-2025,Kerala,Kozhikode,673003,2,14
25-10-2025,Kerala,Kozhikode,673012,0,2
25-10-2025,Kerala,Kozhikode,673016,0,5
25-10-2025,Kerala,Kozhikode,673020,0,2
25-10-2025,Kerala,Kozhikode,673309,0,4
25-10-2025,Kerala,Kozhikode,673503,1,8
25-10-2025,Kerala,Kozhikode,673504,0,8
25-10-2025,Kerala,Kozhikode,673522,1,12
25-10-2025,Kerala,Kozhikode,673525,1,16
25-10-2025,Kerala,Kozhikode,673526,0,2
25-10-2025,Kerala,Kozhikode,673542,0,9
25-10-2025,Kerala,Kozhikode,673571,1,16
25-10-2025,Kerala,Kozhikode,673580,0,5
25-10-2025,Kerala,Kozhikode,673586,1,12
25-10-2025,Kerala,Kozhikode,673633,0,1
03-11-2025,Kerala,Kozhikode,673639,1,1
09-11-2025,Kerala,Kozhikode,673002,0,1
09-11-2025,Kerala,Kozhikode,673010,0,2
09-11-2025,Kerala,Kozhikode,673011,0,1
09-11-2025,Kerala,Kozhikode,673305,0,2
09-11-2025,Kerala,Kozhikode,673307,0,1
09-11-2025,Kerala,Kozhikode,673315,2,2
09-11-2025,Kerala,Kozhikode,673501,0,1
09-11-2025,Kerala,Kozhikode,673506,2,3
09-11-2025,Kerala,Kozhikode,673524,0,1
