date,state,district,pincode,bio_age_5_17,bio_age_17_
22-05-2025,Kerala,Kozhikode,673506,12,7
22-05-2025,Kerala,Kozhikode,673527,1,2
22-05-2025,Kerala,Kozhikode,673573,6,11
22-05-2025,Kerala,Kozhikode,673574,8,8
22-05-2025,Kerala,Kozhikode,673632,4,3
22-05-2025,Kerala,Kozhikode,673633,1,0
22-05-2025,Kerala,Kozhikode,673655,1,3
24-05-2025,Kerala,Kozhikode,673006,1,2
24-05-2025,Kerala,Kozhikode,673007,5,3
24-05-2025,Kerala,Kozhikode,673008,1,7
24-05-2025,Kerala,Kozhikode,673104,5,4
24-05-2025,Kerala,Kozhikode,673105,6,0
24-05-2025,Kerala,Kozhikode,673307,1,6
24-05-2025,Kerala,Kozhikode,673309,3,2
24-05-2025,Kerala,Kozhikode,673310,0,1
24-05-2025,Kerala,Kozhikode,673504,2,2
24-05-2025,Kerala,Kozhikode,673507,8,3
24-05-2025,Kerala,Kozhikode,673517,3,0
24-05-2025,Kerala,Kozhikode,673522,3,0
24-05-2025,Kerala,Kozhikode,673571,10,9
24-05-2025,Kerala,Kozhikode,673602,5,8
24-05-2025,Kerala,Kozhikode,673620,2,4
24-05-2025,Kerala,Kozhikode,673655,2,3
23-05-2025,Kerala,Kozhikode,673001,1,2
23-05-2025,Kerala,Kozhikode,673012,3,4
23-05-2025,Kerala,Kozhikode,673016,5,4
23-05-2025,Kerala,Kozhikode,673301,0,1
23-05-2025,Kerala,Kozhikode,673508,2,6
23-05-2025,Kerala,Kozhikode,673521,6,8
23-05-2025,Kerala,Kozhikode,673523,3,3
23-05-2025,Kerala,Kozhikode,673527,1,1
23-05-2025,Kerala,Kozhikode,673529,3,2
23-05-2025,Kerala,Kozhikode,673542,6,7
23-05-2025,Kerala,Kozhikode,673602,6,10
23-05-2025,Kerala,Kozhikode,673603,2,2
23-05-2025,Kerala,Kozhikode,673612,6,11
23-05-2025,Kerala,Kozhikode,673613,9,1
23-05-2025,Kerala,Kozhikode,673615,1,2
23-05-2025,Kerala,Kozhikode,673655,0,4
26-05-2025,Kerala,Kozhikode,673006,1,1
26-05-2025,Kerala,Kozhikode,673028,9,1
26-05-2025,Kerala,Kozhikode,673101,1,0
26-05-2025,Kerala,Kozhikode,673106,1,2
26-05-2025,Kerala,Kozhikode,673301,3,1
26-05-2025,Kerala,Kozhikode,673308,2,0
26-05-2025,Kerala,Kozhikode,673309,1,2
26-05-2025,Kerala,Kozhikode,673315,3,3
26-05-2025,Kerala,Kozhikode,673328,0,4
26-05-2025,Kerala,Kozhikode,673513,3,2
26-05-2025,Kerala,Kozhikode,673521,2,2
26-05-2025,Kerala,Kozhikode,673524,10,9
26-05-2025,Kerala,Kozhikode,673527,2,1
26-05-2025,Kerala,Kozhikode,673615,2,1
26-05-2025,Kerala,Kozhikode,673616,5,0
27-05-2025,Kerala,Kozhikode,673005,1,0
27-05-2025,Kerala,Kozhikode,673010,4,4
27-05-2025,Kerala,Kozhikode,673011,1,1
27-05-2025,Kerala,Kozhikode,673019,15,11
27-05-2025,Kerala,Kozhikode,673106,2,3
27-05-2025,Kerala,Kozhikode,673306,3,0
27-05-2025,Kerala,Kozhikode,673309,0,4
27-05-2025,Kerala,Kozhikode,673328,2,1
27-05-2025,Kerala,Kozhikode,673513,1,2
27-05-2025,Kerala,Kozhikode,673522,6,4
27-05-2025,Kerala,Kozhikode,673523,0,7
27-05-2025,Kerala,Kozhikode,673527,5,5
27-05-2025,Kerala,Kozhikode,673542,14,12
27-05-2025,Kerala,Kozhikode,673586,14,13
27-05-2025,Kerala,Kozhikode,673611,4,3
